City,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind Speed
Pevek,69.7,170.31,-0.81,91,29,7.34
Mataura,-46.19,168.86,43.3,89,100,4.52
New Norfolk,-42.78,147.06,43.61,87,60,2.44
Saskylakh,71.92,114.08,8.49,79,0,5.37
Yellowknife,62.46,-114.35,23.27,85,90,13.87
Carnarvon,-24.87,113.63,73.4,88,40,9.17
Naze,28.37,129.48,68.0,82,90,5.82
Chernukha,55.6,43.76,33.1,88,28,7.23
Butaritari,3.07,172.79,83.21,77,76,15.82
Geraldton,-28.77,114.6,65.46,82,40,6.93
Saint-Philippe,-21.36,55.77,70.32,83,20,11.41
Cape Town,-33.93,18.42,62.6,59,91,1.12
Rikitea,-23.12,-134.97,77.09,73,18,7.54
Nueva Gorgona,8.55,-79.87,87.39,82,59,12.93
Qaanaaq,77.48,-69.36,20.75,87,100,9.42
Ribeira Grande,38.52,-28.7,62.78,88,100,18.07
Atuona,-9.8,-139.03,82.47,79,89,18.37
Challapata,-18.9,-66.77,51.51,13,46,0.87
Thompson,55.74,-97.86,15.8,47,20,16.11
Touros,-5.2,-35.46,82.4,83,75,6.93
Oodweyne,9.41,45.06,77.61,48,91,8.08
Dicabisagan,17.08,122.42,78.44,83,100,7.02
Nikolskoye,59.7,30.79,35.73,91,75,13.42
Lompoc,34.64,-120.46,61.25,55,90,11.41
Naryan-Mar,67.67,53.09,30.85,98,100,4.9
Katangli,51.71,143.23,25.29,96,96,8.43
Mapiri,-15.25,-68.17,79.12,35,24,3.62
Castro,-24.79,-50.01,61.27,58,43,3.71
Bluff,-46.6,168.33,45.9,85,100,7.43
Kaeo,-35.1,173.78,63.0,95,83,3.0
Maków Mazowiecki,52.86,21.1,37.0,95,19,5.68
Lata,40.16,-8.33,53.01,91,29,3.0
Ahipara,-35.17,173.17,65.62,82,87,8.28
Mar del Plata,-38.0,-57.56,71.29,56,1,6.93
Kapaa,22.08,-159.32,78.89,65,1,8.05
Sadovoye,47.78,44.51,47.75,63,96,4.36
Bredasdorp,-34.53,20.04,53.6,93,46,4.7
Hermanus,-34.42,19.23,64.99,52,69,1.99
Hithadhoo,-0.6,73.08,83.77,75,99,11.65
Mingyue,43.11,128.92,41.67,69,100,2.53
Mlonggo,-6.53,110.7,81.79,76,80,5.37
Puqi,29.72,113.88,55.18,90,98,8.25
Tazovsky,67.47,78.7,35.98,98,100,20.47
Megion,61.03,76.11,51.8,53,100,13.42
Nouadhibou,20.93,-17.03,68.0,77,0,13.87
Upernavik,72.79,-56.15,24.46,90,100,23.78
Vao,-22.67,167.48,75.69,69,74,10.04
Busselton,-33.65,115.33,60.62,70,100,24.92
Punta Arenas,-53.15,-70.92,53.38,46,40,19.46
Srednekolymsk,67.45,153.68,-5.55,90,77,9.55
Isangel,-19.55,169.27,80.6,88,75,10.49
Avarua,-21.21,-159.78,80.6,74,54,6.93
Saint Paul Harbor,57.79,-152.41,46.4,75,1,12.75
Ushuaia,-54.8,-68.3,50.0,69,75,8.05
Hobart,-42.88,147.33,44.67,87,75,8.05
Artigas,-30.4,-56.47,71.28,46,0,6.08
Coruripe,-10.13,-36.18,81.7,76,99,9.15
Yining,29.04,114.56,61.56,89,100,3.76
Eilat,29.56,34.95,75.2,41,0,16.11
Kavaratti,10.57,72.64,84.13,71,1,4.56
Tiksi,71.69,128.87,3.87,85,55,4.38
Khatanga,71.97,102.5,9.54,93,0,5.06
Norman Wells,65.28,-126.83,39.2,86,90,19.46
Barrow,71.29,-156.79,1.4,77,1,13.87
Pangnirtung,66.15,-65.71,7.84,86,99,1.03
Sorong,-0.88,131.25,76.8,87,52,0.22
Hong Kong,22.29,114.16,71.98,83,33,3.0
Guerrero Negro,27.98,-114.06,66.88,54,0,20.78
Lebu,-37.62,-73.65,61.65,72,34,5.7
Ponta do Sol,32.67,-17.1,56.55,58,11,11.99
Manokwari,-0.87,134.08,81.3,72,99,3.47
Bambous Virieux,-20.34,57.76,77.49,88,40,14.99
Avera,33.19,-82.53,75.04,27,1,13.87
Albany,42.6,-73.97,46.09,57,93,5.01
Bethel,41.37,-73.41,40.46,86,90,6.93
Ballina,-28.87,153.57,64.24,93,40,4.7
Luleå,65.58,22.15,32.0,95,43,6.93
Krasnosel'kup,65.7,82.47,37.29,85,100,21.0
Ossora,59.24,163.07,18.07,90,0,5.08
Maxcanú,20.58,-89.98,104.0,24,40,16.11
Puerto Ayora,-0.74,-90.35,83.52,70,75,11.41
Umm Kaddadah,13.6,26.69,79.97,14,81,11.23
Deer Lake,49.17,-57.43,33.4,40,20,11.41
Chifeng,42.27,118.96,50.79,39,100,7.14
Bathsheba,13.22,-59.52,82.4,65,20,17.22
Impfondo,1.64,18.07,70.07,86,27,1.92
Paamiut,61.99,-49.67,27.77,94,100,23.58
Hirado,33.36,129.55,50.81,87,98,1.12
Ikauna,27.55,81.97,79.68,24,7,2.98
Cabo San Lucas,22.89,-109.91,77.47,56,5,19.46
Provideniya,64.38,-173.3,22.05,95,100,14.54
Bendigo,-36.77,144.28,44.01,89,47,2.91
Cidreira,-30.18,-50.21,68.59,78,0,11.72
São Filipe,14.9,-24.5,71.69,73,14,21.59
Verāval,20.9,70.37,80.71,57,12,11.34
Dongying,37.46,118.49,55.04,66,100,5.75
Wasilla,61.58,-149.44,52.02,66,90,2.59
Níjar,36.97,-2.21,60.91,100,75,1.12
Muros,42.78,-9.06,48.81,91,24,1.01
Leh,34.17,77.58,32.9,19,75,4.59
Kysyl-Syr,63.9,122.76,1.11,91,16,6.33
Iqaluit,63.75,-68.51,6.39,60,20,4.7
Road Town,18.42,-64.62,82.0,80,15,14.0
